id,text
id_000245,"Giao lâu, máy của fpt có tem niêm phong nên yên tâm. "
id_000246,Lzd giao hàng nhanh hết sức. Nửa đêm đặt. 12h trưa đã đến. Đúng hàng chính hãng. Fpt nhập 
id_000247,"Máy chính hãng FPT Shop, giao hàng nhanh, đóng gói cẩn thận !!!"
id_000248,Đã nhận máy. Tuy nhiên tôi cần hoá đơn điện tử để tiện cho việc bảo hành về sau. Tks
id_000249,"Giao hàng nhah và đúng hẹn, máy dán tem bảo hành fpt"
id_000250,Hàng chính hãng VN/A với tem FPT
id_000251,"Giao hàng trước 14h, máy chính hãng, giảm so với giá chính hãng hơ n 5tr ngày 11.11"
id_000252,"Mua mãi mới được, giá ngon nhưng thao tác bên lazada hơi chán, bị lỗi hoài"
id_000253,Tốt đẹp chính hãng
id_000254,"Giao hàng khá nhanh, ở tỉnh mà hôm trước hôm sau đã nhận được hàng"
id_000255,"Hàng đẹp, giá tốt, hỗ trợ tư vấn nhiệt tình, giao hàng nhanh."
id_000256,"giao hàng đúng tiến độ, kịp thời"
id_000257,"Hang chính hãng, giao nhanh"
id_000258,"Giao hơi chậm, sản phẩm dịch vụ tốt "
id_000259,Nguyên Seal chưa active. Còn tem của FPT. Rất uy tín nhé mọi người
id_000260,"Sản phẩm tốt, đúng chất lượng.

Nhưng thông tin tin ở chương trình mở bán ngày 1/11 không rõ ràng, gây nhầm lẫn và thiệt hại cho khách hàng, ở mục: Giảm thêm 2 triệu đồng cho tất cả sản phẩm Iphone Pro max khi thanh toán bằng thẻ tín dụng Citibank --> Thanh toán bằng thẻ tín dụng Citibank không được giảm 2 triệu.

Hóa đơn V.A.T, đến nay tôi cũng chưa nhận được.

"
id_000261,"Rất thất vọng,mở ra tét thử loa ngoài rè như loa phường ấy mình đang yêu cầu trả lại."
id_000262,Tôi chưa nhận được hoá đơn GTGT của đơn hàng. Đề nghị xuất hoá đơn và gửi cho tôi nếu không sẽ hoàn lại hàng
